IDpol,ClaimNb,ds,Exposure,y,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region
6329,1,12/08/2025,0.04,C,7,0,43,50,B12,Regular,188,R22
6331,1,27/12/2024,0.44,C,7,0,43,50,B12,Regular,188,R22
6333,1,22/02/2025,0.17,C,4,0,49,50,B12,Regular,245,R93
6334,1,21/05/2025,0.31,C,4,0,49,50,B12,Regular,245,R93
6337,1,22/04/2025,0.41,C,9,0,48,64,B12,Regular,166,R94
6338,1,09/06/2025,0.07,C,9,0,48,64,B12,Regular,166,R94
6341,1,30/05/2025,0.49,F,5,0,50,60,B12,Regular,27000,R11
6344,1,08/08/2025,0.4,E,4,0,38,50,B12,Regular,2517,R11
6345,1,09/07/2025,0.07,E,4,0,38,50,B12,Regular,2517,R11
6348,1,19/08/2025,0.4,C,4,0,40,57,B12,Regular,167,R31
6349,2,03/12/2024,0.08,C,4,0,40,57,B12,Regular,167,R31
6352,1,28/11/2024,0.49,D,9,0,46,50,B12,Regular,726,R91
6354,1,26/06/2025,0.21,E,9,9,41,90,B12,Regular,3991,R21
6356,1,25/01/2025,0.03,E,11,10,41,90,B1,Regular,3991,R21
6357,1,25/06/2025,0.24,E,9,9,41,90,B6,Regular,3991,R21
6359,1,18/06/2025,0.36,C,5,0,30,72,B12,Regular,374,R93
6360,1,16/01/2025,0.13,C,5,0,30,72,B12,Regular,374,R93
6363,1,01/04/2025,0.03,C,7,4,63,50,B12,Regular,189,R91
6365,1,15/08/2025,0.45,C,7,4,63,50,B12,Regular,189,R91
6367,1,04/02/2025,0.27,A,12,6,35,50,B12,Diesel,40,R72
6368,1,04/02/2025,0.21,A,12,6,35,50,B12,Diesel,40,R72
6370,1,04/03/2025,0.02,F,4,0,55,50,B12,Regular,27000,R11
6371,1,10/06/2025,0.01,F,4,0,55,50,B12,Regular,27000,R11
6373,1,20/06/2025,0.45,F,4,0,55,50,B12,Regular,27000,R11
6375,1,27/05/2025,0.47,B,7,4,46,50,B6,Regular,56,R11
6378,1,05/05/2025,0.06,B,6,1,54,50,B12,Diesel,85,R72
6380,1,19/07/2025,0.42,B,6,1,54,50,B12,Diesel,85,R72
6381,1,06/06/2025,0.07,B,4,0,64,68,B12,Regular,66,R93
6383,1,24/06/2025,0.05,F,9,0,40,50,B12,Regular,13520,R11
6384,1,01/09/2025,0.00273224,F,9,0,40,50,B12,Regular,13520,R11
6385,1,07/04/2025,0.42,F,9,0,40,50,B12,Regular,13520,R11
6387,1,10/06/2025,0.49,D,6,0,32,72,B12,Regular,1955,R94
6390,1,24/06/2025,0.48,E,7,0,62,81,B12,Regular,2580,R72
6394,1,26/06/2025,0.48,A,10,4,52,50,B12,Diesel,8,R72
6398,1,15/03/2025,0.05,F,7,0,55,62,B12,Diesel,27000,R11
6401,1,23/07/2025,0.43,F,7,0,55,62,B12,Diesel,27000,R11
6404,1,19/08/2025,0.52,E,7,5,33,100,B12,Regular,9307,R82
6406,1,23/08/2025,0.41,C,10,0,47,50,B12,Diesel,109,R93
6407,1,04/02/2025,0.01,C,10,0,47,50,B12,Diesel,109,R93
6408,1,06/03/2025,0.05,C,10,0,47,50,B12,Diesel,109,R93
6410,2,23/06/2025,0.48,B,11,0,57,50,B12,Diesel,75,R73
6414,1,13/06/2025,0.06,A,10,3,28,80,B4,Regular,36,R31
6415,1,05/05/2025,0.42,A,10,3,28,80,B4,Regular,36,R31
6417,1,22/07/2025,0.05,B,4,0,27,85,B12,Regular,99,R73
6419,1,28/02/2025,0.43,B,4,0,27,85,B12,Regular,99,R73
6421,1,22/07/2025,0.48,D,5,4,37,90,B2,Diesel,1629,R93
6426,1,30/05/2025,0.48,D,6,1,41,57,B12,Diesel,720,R73
6428,1,25/06/2025,0.48,A,5,0,59,50,B12,Regular,7,R72
6430,1,18/06/2025,0.48,C,6,10,37,51,B5,Regular,223,R72
6433,1,10/04/2025,0.12,D,5,0,50,55,B12,Regular,507,R93
6435,1,22/08/2025,0.36,D,5,0,50,55,B12,Regular,507,R93
6437,1,04/07/2025,0.48,C,7,0,48,50,B12,Diesel,488,R11
6440,1,12/05/2025,0.48,E,5,0,43,63,B12,Regular,2859,R11
6443,1,14/07/2025,0.06,D,5,0,47,50,B12,Regular,1006,R93
6445,1,24/07/2025,0.42,D,5,0,47,50,B12,Regular,1006,R93
6447,1,24/03/2025,0.48,E,11,0,35,52,B12,Regular,2663,R11
6450,1,03/05/2025,0.34,C,4,4,32,80,B6,Regular,161,R82
6452,1,12/05/2025,0.06,C,7,0,39,50,B12,Diesel,167,R11
6453,1,08/07/2025,0.39,C,7,0,39,50,B12,Diesel,167,R11
6455,1,16/04/2025,0.24,E,7,0,31,60,B12,Regular,3564,R11
6456,1,06/05/2025,0.05,E,7,0,31,60,B12,Regular,3564,R11
6458,1,03/07/2025,0.18,E,7,0,31,60,B12,Regular,3564,R11
6461,1,25/04/2025,0.12,A,8,10,26,72,B12,Regular,27,R73
6462,1,20/06/2025,0.35,A,8,10,26,72,B12,Regular,27,R73
6467,1,10/02/2025,0.04,C,15,0,56,50,B12,Regular,210,R53
6473,2,22/02/2025,0.48,D,10,0,35,59,B12,Regular,824,R91
6476,1,25/06/2025,0.18,F,6,0,42,90,B12,Regular,17140,R11
6477,1,12/05/2025,0.29,F,6,0,42,90,B12,Regular,17140,R11
6480,1,26/05/2025,0.08,E,6,0,44,50,B12,Regular,6913,R11
6481,2,13/05/2025,0.39,E,6,0,44,50,B12,Regular,6913,R11
6483,1,22/05/2025,0.24,B,9,0,55,52,B12,Regular,66,R93
6484,1,17/07/2025,0.24,B,9,0,55,52,B12,Regular,66,R93
6487,1,22/04/2025,0.46,E,9,5,39,50,B12,Regular,3657,R82
6490,1,02/07/2025,0.03,C,7,2,44,50,B12,Regular,114,R72
6492,1,29/08/2025,0.43,C,7,2,44,50,B12,Regular,114,R72
6494,1,25/07/2025,0.47,E,4,1,64,50,B12,Regular,4579,R93
6497,1,27/03/2025,0.4,E,6,0,36,50,B12,Regular,7634,R11
6498,1,22/04/2025,0.07,E,6,0,36,50,B12,Regular,7634,R11
6501,1,09/12/2024,0.41,F,4,0,39,50,B12,Regular,10477,R11
6502,2,22/07/2025,0.06,F,4,0,39,50,B12,Regular,10477,R11
6505,1,25/03/2025,0.41,D,5,0,35,95,B12,Regular,1811,R73
6506,1,05/03/2025,0.06,D,5,0,35,95,B12,Regular,1811,R73
6509,1,30/12/2024,0.39,D,5,0,26,85,B12,Regular,916,R31
6510,1,16/12/2024,0.07,D,5,0,26,85,B12,Regular,916,R31
6513,2,05/05/2025,0.12,C,4,0,33,100,B12,Regular,269,R93
6515,1,28/04/2025,0.35,C,4,0,33,100,B12,Regular,269,R93
6517,1,22/08/2025,0.3,E,7,0,30,90,B12,Regular,3301,R73
6518,1,26/03/2025,0.06,E,7,0,30,90,B12,Regular,3301,R73
6519,1,03/01/2025,0.1,E,7,0,30,90,B12,Regular,3301,R73
6521,1,12/06/2025,0.47,E,10,10,30,72,B12,Diesel,3274,R11
6524,1,23/05/2025,0.47,F,7,10,60,100,B3,Regular,15725,R11
6526,1,03/06/2025,0.17,D,10,0,24,100,B12,Diesel,1867,R11
6528,1,26/11/2024,0.07,D,4,1,32,50,B3,Regular,1976,R93
6529,1,10/02/2025,0.4,D,10,6,32,50,B12,Regular,1976,R93
6532,1,13/03/2025,0.47,D,4,0,36,50,B12,Regular,1287,R72
6535,2,11/04/2025,0.4,C,4,0,46,50,B12,Regular,159,R93
6536,1,03/07/2025,0.07,C,4,0,46,50,B12,Regular,159,R93
6539,1,07/11/2024,0.39,F,5,0,47,50,B12,Regular,27000,R11
6540,1,17/06/2025,0.08,F,5,0,47,50,B12,Regular,27000,R11
6543,1,10/12/2024,0.47,D,7,4,30,60,B12,Regular,1328,R82
6545,1,29/05/2025,0.4,C,6,0,65,50,B12,Regular,150,R93
6546,1,13/06/2025,0.06,C,6,0,65,50,B12,Regular,150,R93
6549,1,26/06/2025,0.47,C,5,0,33,63,B12,Regular,150,R93
6552,1,19/08/2025,0.47,C,7,1,48,50,B12,Diesel,330,R82
6556,1,21/03/2025,0.47,E,6,6,25,100,B4,Regular,2139,R11
6559,1,30/04/2025,0.46,A,10,0,51,50,B12,Regular,41,R72
6562,1,21/04/2025,0.47,E,10,0,58,50,B12,Regular,3301,R73
6564,1,26/05/2025,0.21,E,6,0,27,72,B12,Regular,3274,R11
6566,2,17/06/2025,0.47,E,7,4,46,52,B1,Diesel,4685,R11
6568,1,19/07/2025,0.04,D,6,1,41,57,B12,Diesel,720,R73
6570,1,21/08/2025,0.43,D,6,1,32,57,B12,Diesel,720,R73
6572,1,13/05/2025,0.08,D,7,0,49,50,B12,Diesel,720,R73
6573,1,21/07/2025,0.43,D,7,0,49,50,B12,Diesel,720,R73
6574,1,09/06/2025,0.03,E,5,6,32,71,B1,Regular,3274,R11
6575,1,10/06/2025,0.26,E,5,6,32,71,B1,Regular,3274,R11
6577,1,08/08/2025,0.12,E,6,0,47,50,B12,Regular,3019,R73
6579,1,24/04/2025,0.34,E,6,0,47,50,B12,Regular,3019,R73
6581,1,16/06/2025,0.39,A,5,0,50,50,B12,Regular,20,R74
6582,1,23/06/2025,0.06,A,5,0,50,50,B12,Regular,20,R74
6585,1,05/06/2025,0.47,F,5,0,38,50,B12,Regular,27000,R11
6588,1,29/10/2024,0.46,D,4,0,63,50,B12,Regular,1846,R72
6591,1,09/04/2025,0.46,E,11,5,48,68,B4,Regular,2139,R11
6597,2,07/04/2025,0.1,A,7,0,24,100,B12,Regular,45,R26
6598,2,24/03/2025,0.35,A,7,0,24,100,B12,Regular,45,R26
6600,1,16/06/2025,0.09,E,9,0,40,85,B12,Regular,2658,R82
6602,1,18/06/2025,0.37,E,9,0,40,85,B12,Regular,2658,R82
6604,1,18/08/2025,0.1,D,5,0,57,85,B12,Diesel,1309,R72
6606,1,12/05/2025,0.36,D,5,0,57,85,B12,Diesel,1309,R72
6608,1,21/05/2025,0.41,D,9,0,44,50,B12,Regular,514,R82
6609,1,21/05/2025,0.04,D,9,0,44,50,B12,Regular,514,R82
6611,1,31/01/2025,0.005464481,D,9,0,44,50,B12,Regular,514,R82
6613,1,13/06/2025,0.17,D,5,0,26,80,B12,Regular,1557,R82
6614,1,22/07/2025,0.29,D,5,0,26,80,B12,Regular,1557,R82
6616,1,08/07/2025,0.47,D,10,4,32,70,B12,Regular,721,R93
6618,1,12/06/2025,0.41,F,6,0,40,50,B12,Regular,27000,R11
6619,1,27/03/2025,0.05,F,6,0,40,50,B12,Regular,27000,R11
6622,1,12/03/2025,0.46,D,5,2,34,76,B5,Regular,528,R93
6625,1,07/03/2025,0.46,A,4,5,53,50,B6,Regular,37,R52
6627,1,26/05/2025,0.09,A,9,0,26,90,B12,Regular,32,R24
6629,1,07/07/2025,0.37,A,9,0,26,90,B12,Regular,32,R24
6631,1,12/06/2025,0.11,C,5,0,48,50,B12,Regular,414,R93
6633,1,09/07/2025,0.35,C,5,0,48,50,B12,Regular,414,R93
6635,1,12/04/2025,0.46,A,7,8,34,50,B3,Diesel,10,R72
6638,1,17/06/2025,0.1,F,4,0,29,60,B12,Regular,27000,R11
6639,1,11/04/2025,0.36,F,4,0,29,60,B12,Regular,27000,R11
6641,1,29/04/2025,0.41,E,5,0,40,50,B12,Regular,2354,R11
6644,1,14/11/2024,0.05,E,5,0,40,50,B12,Regular,2354,R11
6647,1,27/12/2024,0.46,E,5,0,29,85,B12,Regular,3434,R11
6652,1,21/03/2025,0.15,E,6,0,72,50,B12,Regular,5433,R93
6653,1,06/08/2025,0.19,E,6,0,72,50,B12,Regular,5433,R93
6655,1,27/05/2025,0.08,E,6,0,72,50,B12,Regular,5433,R93
6656,1,14/07/2025,0.03,E,6,0,72,50,B12,Regular,5433,R93
6658,1,30/01/2025,0.12,A,6,2,23,80,B12,Diesel,9,R26
6660,1,03/07/2025,0.34,A,6,2,23,80,B12,Diesel,9,R26
6662,2,27/05/2025,0.4,D,7,0,58,50,B12,Diesel,942,R82
6664,1,28/05/2025,0.05,D,7,0,58,50,B12,Diesel,942,R82
6665,1,15/07/2025,0.03,E,10,0,30,64,B12,Regular,9215,R11
6666,1,21/07/2025,0.04,E,10,0,30,64,B12,Regular,9215,R11
6670,1,23/05/2025,0.45,D,5,15,25,95,B1,Regular,626,R93
6674,1,09/04/2025,0.45,D,11,4,34,56,B4,Regular,1729,R74
6675,1,20/02/2025,0.00273224,C,10,6,32,90,B12,Regular,280,R82
6676,1,18/07/2025,0.09,C,10,6,32,90,B12,Regular,280,R82
6677,1,22/11/2024,0.12,C,10,6,32,90,B12,Regular,280,R82
6679,2,04/07/2025,0.37,E,4,0,20,100,B12,Regular,6924,R11
6680,2,28/04/2025,0.08,E,4,0,20,95,B12,Regular,6924,R11
6683,1,06/01/2025,0.4,E,5,0,28,76,B12,Regular,9307,R82
6686,1,06/02/2025,0.12,E,5,0,28,76,B12,Regular,9307,R82
6689,1,08/02/2025,0.45,D,7,3,32,56,B1,Regular,1448,R93
6692,1,07/06/2025,0.45,A,5,0,71,50,B12,Regular,18,R72
6695,1,04/08/2025,0.45,B,7,0,44,50,B12,Diesel,78,R82
6698,1,09/06/2025,0.12,E,5,0,50,50,B12,Regular,4393,R11
6699,1,27/02/2025,0.33,E,5,0,50,50,B12,Regular,4393,R11
6701,1,25/11/2024,0.4,E,6,0,32,51,B12,Regular,9812,R11
6703,1,11/08/2025,0.05,E,6,0,32,54,B12,Regular,9812,R11
6705,1,07/04/2025,0.41,E,5,0,56,50,B12,Regular,4348,R72
6707,1,29/07/2025,0.04,E,5,0,56,50,B12,Regular,4348,R72
6710,1,29/08/2025,0.43,C,4,4,42,50,B6,Regular,481,R31
6714,1,27/05/2025,0.11,D,10,0,57,50,B12,Diesel,1759,R52
6715,1,10/04/2025,0.33,D,10,0,57,50,B12,Diesel,1759,R52
6717,1,10/03/2025,0.4,C,12,3,40,50,B12,Diesel,216,R82
6718,1,23/04/2025,0.04,C,12,3,40,50,B12,Diesel,216,R82
6720,1,30/09/2024,0.24,D,4,2,29,112,B3,Diesel,711,R82
6722,1,14/02/2025,0.21,D,4,2,29,112,B3,Diesel,711,R82
6725,1,17/12/2024,0.45,A,10,0,36,54,B12,Diesel,8,R94
6727,1,29/04/2025,0.32,F,4,0,34,72,B12,Regular,10477,R11
6729,1,06/12/2024,0.12,F,4,0,34,72,B12,Regular,10477,R11
6732,1,31/12/2024,0.45,E,5,0,49,50,B12,Regular,3866,R24
6734,1,17/12/2024,0.45,C,7,0,68,50,B12,Diesel,260,R93
6738,1,07/07/2025,0.18,B,6,0,25,100,B3,Diesel,95,R11
6739,1,29/04/2025,0.26,B,6,0,25,100,B3,Diesel,95,R11
6741,1,14/04/2025,0.4,E,7,9,33,100,B12,Diesel,6465,R11
6742,1,29/08/2025,0.04,E,7,9,33,100,B12,Diesel,6465,R11
6744,1,21/04/2025,0.32,E,6,0,53,50,B12,Diesel,9307,R82
6746,1,15/04/2025,0.12,E,6,0,53,50,B12,Diesel,9307,R82
6749,1,27/08/2025,0.45,A,11,0,45,50,B12,Diesel,24,R52
6752,1,15/03/2025,0.45,E,7,0,63,50,B12,Diesel,3301,R73
6754,1,21/07/2025,0.04,E,11,0,67,50,B12,Regular,2446,R93
6756,1,18/06/2025,0.04,E,11,0,67,50,B12,Regular,2446,R93
6757,1,22/04/2025,0.35,E,11,0,67,50,B12,Regular,2446,R93
6759,1,21/04/2025,0.39,A,4,0,55,50,B12,Regular,46,R54
6761,1,21/07/2025,0.05,A,4,0,55,50,B12,Regular,46,R54
6763,1,10/06/2025,0.4,E,10,0,49,50,B12,Regular,4348,R72
6765,1,08/08/2025,0.04,E,10,0,49,50,B12,Regular,4348,R72
6768,2,22/04/2025,0.09,D,6,0,31,57,B12,Regular,677,R31
6769,1,11/07/2025,0.36,D,6,0,31,57,B12,Regular,677,R31
6771,1,01/02/2025,0.45,B,4,0,39,53,B12,Regular,66,R93
6773,1,09/05/2025,0.24,E,7,4,27,72,B12,Regular,2354,R11
6775,1,12/08/2025,0.19,E,7,4,27,70,B12,Regular,2354,R11
6778,1,02/07/2025,0.44,F,4,0,56,54,B12,Regular,27000,R11
6780,1,22/05/2025,0.4,E,6,0,39,60,B2,Regular,4685,R11
6782,1,10/04/2025,0.03,E,6,0,49,60,B2,Regular,4685,R11
6785,1,22/07/2025,0.44,D,6,0,41,51,B12,Regular,1370,R73
6788,2,30/07/2025,0.44,E,6,3,28,80,B12,Diesel,2563,R11
6791,1,11/03/2025,0.44,B,11,0,40,50,B12,Diesel,60,R93
6796,1,22/04/2025,0.2,D,5,0,42,50,B12,Regular,1234,R41
6797,1,02/06/2025,0.24,D,5,0,42,50,B12,Regular,1234,R41
6800,1,05/03/2025,0.44,D,11,1,41,58,B12,Diesel,553,R31
6803,1,27/01/2025,0.33,F,9,2,58,50,B12,Regular,12374,R11
6809,1,24/07/2025,0.44,E,11,3,50,50,B10,Regular,2694,R54
6812,1,24/07/2025,0.09,C,7,0,49,50,B12,Diesel,126,R11
6813,1,28/11/2024,0.35,C,7,0,49,50,B12,Diesel,126,R11
6815,1,26/03/2025,0.41,C,6,1,63,50,B12,Diesel,134,R21
6820,1,07/04/2025,0.03,C,6,1,63,50,B12,Diesel,134,R21
6823,1,06/06/2025,0.43,D,5,10,47,83,B5,Diesel,1229,R31
6826,1,22/01/2025,0.28,F,4,0,46,60,B12,Regular,13719,R11
6827,1,01/04/2025,0.16,F,4,0,46,60,B12,Regular,13719,R11
6830,1,04/12/2024,0.44,D,4,0,41,50,B12,Regular,645,R94
6832,1,27/02/2025,0.4,D,5,0,41,50,B12,Regular,1217,R82
6834,1,18/12/2024,0.04,D,5,0,41,50,B12,Regular,1217,R82
6837,1,11/08/2025,0.44,A,10,3,46,50,B12,Diesel,44,R23
6839,1,23/01/2025,0.38,C,5,0,27,100,B12,Diesel,342,R41
6841,2,27/05/2025,0.05,C,5,0,27,100,B12,Diesel,342,R41
6844,1,28/04/2025,0.37,A,11,0,57,50,B12,Diesel,27,R74
6845,1,09/04/2025,0.05,A,11,0,57,50,B12,Diesel,27,R74
6848,1,12/06/2025,0.27,A,5,0,65,50,B12,Regular,25,R91
6853,1,20/02/2025,0.09,D,9,0,23,100,B12,Regular,1185,R42
6854,1,09/05/2025,0.34,D,9,0,23,100,B12,Regular,1185,R42
6857,1,15/07/2025,0.36,E,5,0,76,50,B12,Regular,2365,R31
6858,1,13/02/2025,0.08,E,5,0,76,50,B12,Regular,2365,R31
6860,1,19/02/2025,0.44,C,4,1,22,100,B12,Regular,344,R83
6862,1,27/03/2025,0.32,C,6,2,53,50,B3,Regular,241,R82
6864,1,03/03/2025,0.12,C,6,2,53,50,B3,Regular,241,R82
6868,1,23/06/2025,0.1,C,4,0,51,50,B12,Regular,269,R91
6869,1,05/05/2025,0.34,C,4,0,51,50,B12,Regular,269,R91
6872,1,30/06/2025,0.44,C,8,6,34,90,B13,Diesel,160,R93
6876,1,18/12/2024,0.47,D,5,0,32,72,B3,Diesel,577,R21
6879,1,09/05/2025,0.04,C,4,0,35,60,B12,Regular,141,R82
6881,1,07/08/2025,0.01,C,4,0,35,60,B12,Regular,141,R82
6882,1,03/06/2025,0.35,C,4,0,35,60,B12,Regular,141,R82
6883,1,04/08/2025,0.01,C,4,0,35,60,B12,Regular,141,R82
6886,1,14/07/2025,0.42,E,6,0,41,75,B2,Diesel,3744,R93
6889,2,20/05/2025,0.1,C,5,0,60,50,B12,Diesel,471,R93
6890,1,11/03/2025,0.33,C,5,0,60,50,B12,Diesel,471,R93
6892,1,26/11/2024,0.41,D,7,9,66,56,B1,Regular,709,R93
6896,1,07/05/2025,0.43,B,10,0,48,50,B12,Regular,64,R52
6898,1,17/02/2025,0.33,E,9,0,55,50,B12,Regular,5433,R93
6900,1,30/01/2025,0.02,E,9,0,55,50,B12,Regular,5433,R93
6901,1,19/08/2025,0.08,E,9,0,55,50,B12,Regular,5433,R93
6903,1,10/06/2025,0.41,B,7,4,64,50,B12,Diesel,56,R54
6907,1,11/07/2025,0.43,D,5,0,73,50,B12,Regular,1101,R93
6911,1,14/02/2025,0.43,D,5,7,28,60,B2,Diesel,959,R23
6914,1,18/07/2025,0.19,C,8,4,40,50,B3,Regular,181,R93
6915,1,12/12/2024,0.16,C,8,4,40,50,B3,Regular,181,R93
6916,1,16/12/2024,0.15,C,8,4,40,50,B3,Regular,181,R93
6918,1,03/06/2025,0.43,E,9,0,53,50,B12,Regular,6902,R41
6920,1,14/08/2025,0.43,A,7,0,67,50,B12,Regular,27,R72
6924,1,06/08/2025,0.1,B,8,10,33,63,B12,Regular,97,R93
6925,1,12/08/2025,0.33,B,8,10,33,63,B12,Regular,97,R93
6928,1,22/11/2024,0.43,E,6,3,40,73,B2,Regular,3288,R11
6931,2,11/12/2024,0.43,E,4,1,57,64,B12,Regular,5723,R82
6934,1,23/05/2025,0.43,E,4,0,54,62,B12,Regular,2252,R82
6937,2,08/04/2025,0.43,E,5,8,18,100,B5,Diesel,2498,R72
6938,1,15/04/2025,0.32,D,4,10,29,100,B14,Regular,1541,R91
6941,1,24/06/2025,0.09,B,5,0,68,50,B12,Regular,75,R24
6942,1,19/02/2025,0.34,B,5,0,68,50,B12,Regular,75,R24
6945,1,07/04/2025,0.43,B,7,0,60,50,B12,Diesel,89,R73
6948,1,30/12/2024,0.09,C,7,0,42,50,B12,Diesel,273,R72
6949,1,11/06/2025,0.33,C,7,0,42,50,B12,Diesel,273,R72
6952,1,04/07/2025,0.35,B,11,0,58,50,B12,Diesel,93,R11
6953,1,21/04/2025,0.07,B,11,0,58,50,B12,Diesel,93,R11
6955,1,06/01/2025,0.00273224,B,10,10,27,76,B12,Diesel,85,R93
6956,1,29/04/2025,0.39,B,10,10,27,76,B12,Diesel,85,R93
6958,2,19/05/2025,0.04,B,10,10,27,76,B12,Diesel,85,R93
6961,1,02/09/2025,0.35,C,6,0,78,50,B12,Regular,217,R73
6962,1,17/06/2025,0.07,C,6,0,78,50,B12,Regular,217,R73
6964,1,11/08/2025,0.33,C,10,0,49,57,B12,Regular,211,R72
6966,1,29/07/2025,0.1,C,10,0,49,57,B12,Regular,211,R72
6968,1,14/08/2025,0.16,E,8,6,26,76,B2,Diesel,3317,R93
6969,1,06/08/2025,0.22,E,8,6,26,76,B2,Diesel,3317,R93
6972,1,12/08/2025,0.03,E,8,6,26,76,B2,Diesel,3317,R93
6973,3,22/11/2024,0.01,E,8,6,26,76,B2,Diesel,3317,R93
6975,1,11/12/2024,0.4,C,5,0,30,95,B12,Regular,161,R73
6979,1,23/05/2025,0.02,C,5,0,30,95,B12,Regular,161,R73
6982,1,08/04/2025,0.11,E,4,0,28,100,B12,Regular,8549,R82
6983,1,15/04/2025,0.43,E,4,0,28,100,B12,Regular,8549,R82
6987,1,24/06/2025,0.36,C,7,0,36,50,B12,Diesel,492,R82
6988,1,19/02/2025,0.06,C,7,0,36,50,B12,Diesel,492,R82
6992,1,07/04/2025,0.42,B,5,2,25,76,B12,Diesel,66,R93
6995,1,30/12/2024,0.43,A,7,0,49,50,B12,Regular,21,R74
6998,1,11/06/2025,0.35,C,5,0,57,62,B12,Regular,296,R26
6999,1,04/07/2025,0.06,C,5,0,57,62,B12,Regular,296,R26
7002,1,21/04/2025,0.43,C,5,0,51,50,B12,Regular,269,R91
7003,1,06/01/2025,0.07,E,12,0,28,60,B12,Diesel,6729,R11
7005,1,29/04/2025,0.08,C,7,3,37,68,B6,Regular,251,R73
7006,2,19/05/2025,0.34,C,7,3,37,68,B6,Regular,251,R73
7009,1,02/09/2025,0.43,C,7,6,22,85,B12,Diesel,317,R11
7012,1,17/06/2025,0.35,E,6,2,26,100,B12,Regular,8455,R82
7013,1,11/08/2025,0.07,E,6,2,26,100,B12,Regular,8455,R82
7015,1,29/07/2025,0.46,E,7,0,61,51,B12,Diesel,3301,R73
7019,1,14/08/2025,0.42,C,4,1,58,50,B12,Regular,342,R93
7022,1,06/08/2025,0.42,E,6,4,34,50,B12,Regular,4902,R11
7024,1,12/08/2025,0.39,E,9,0,45,72,B12,Regular,6257,R11
7026,1,22/11/2024,0.02,E,9,0,45,72,B12,Regular,6257,R11
7028,1,11/12/2024,0.41,C,9,1,56,72,B12,Regular,200,R11
7030,1,23/05/2025,0.32,B,6,0,45,50,B12,Regular,97,R91
7032,1,08/04/2025,0.1,B,6,0,45,50,B12,Regular,97,R91
7034,1,15/04/2025,0.35,D,6,1,42,60,B12,Diesel,620,R52
7035,1,24/06/2025,0.07,D,6,1,42,60,B12,Diesel,620,R52
7037,1,19/02/2025,0.42,D,7,0,43,66,B12,Diesel,645,R91
7039,1,07/04/2025,0.00273224,D,4,0,60,50,B12,Regular,1408,R52
7040,1,30/12/2024,0.32,D,4,0,60,100,B12,Regular,1408,R52
7041,1,11/06/2025,0.1,D,4,0,60,50,B12,Regular,1408,R52
7045,2,04/07/2025,0.00273224,F,6,1,39,58,B12,Regular,13520,R11
7046,1,21/04/2025,0.33,F,6,1,39,58,B12,Regular,13520,R11
7047,1,06/01/2025,0.09,F,6,1,39,58,B12,Regular,13520,R11
7049,1,29/04/2025,0.00273224,E,7,0,35,50,B12,Diesel,6617,R11
7050,1,19/05/2025,0.38,E,7,0,35,50,B12,Diesel,6617,R11
7053,1,02/09/2025,0.41,B,4,0,35,95,B12,Regular,85,R93
7058,1,17/06/2025,0.37,D,5,0,43,50,B12,Regular,648,R21
7059,3,11/08/2025,0.05,D,5,0,43,50,B12,Regular,648,R21
7061,1,29/07/2025,0.42,E,4,0,29,90,B12,Regular,4358,R11
7063,1,14/08/2025,0.43,D,6,2,22,90,B12,Diesel,563,R52
7067,1,06/08/2025,0.42,C,7,1,39,50,B12,Regular,330,R82
7070,1,12/08/2025,0.56,E,9,0,57,50,B12,Regular,3946,R82
7073,1,22/11/2024,0.06,D,8,10,28,76,B12,Regular,725,R73
7075,1,11/12/2024,0.35,D,8,10,28,76,B12,Regular,725,R73
7078,1,23/05/2025,0.42,C,7,3,33,73,B1,Diesel,309,R73
7080,1,08/04/2025,0.31,D,11,0,43,60,B12,Diesel,746,R72
7081,1,15/04/2025,0.11,D,11,0,43,60,B12,Diesel,746,R72
7083,1,24/06/2025,0.32,C,9,0,41,50,B12,Regular,144,R93
7085,1,19/02/2025,0.1,C,9,0,41,50,B12,Regular,144,R93
7088,1,07/04/2025,0.36,E,7,6,33,100,B12,Diesel,3465,R11
7089,1,30/12/2024,0.06,E,7,6,33,100,B12,Diesel,3465,R11
7092,1,11/06/2025,0.42,E,6,0,72,50,B12,Regular,5433,R93
7096,1,04/07/2025,0.42,B,10,5,44,50,B12,Diesel,52,R93
7099,1,21/04/2025,0.08,F,9,0,39,100,B12,Regular,27000,R11
7100,1,06/01/2025,0.34,F,9,0,39,100,B12,Regular,27000,R11
7102,1,29/04/2025,0.42,B,5,0,64,90,B12,Regular,64,R11
7105,1,19/05/2025,0.27,D,4,0,39,68,B12,Regular,1309,R72
7106,1,02/09/2025,0.14,D,4,0,39,68,B12,Regular,1309,R72
7109,1,17/06/2025,0.35,F,4,0,38,95,B12,Regular,15703,R11
7110,1,11/08/2025,0.07,F,4,0,38,95,B12,Regular,15703,R11
7113,1,29/07/2025,0.42,C,9,0,41,50,B12,Regular,185,R91
7117,1,14/08/2025,0.08,A,10,0,65,50,B12,Diesel,6,R91
7118,1,06/08/2025,0.33,A,10,0,65,50,B12,Diesel,6,R91
7121,1,12/08/2025,0.42,A,5,1,58,50,B12,Regular,38,R73
7123,1,22/11/2024,0.46,C,7,0,44,58,B12,Diesel,458,R93
7127,1,11/12/2024,0.34,F,6,0,35,51,B12,Regular,27000,R11
7128,1,23/05/2025,0.07,F,6,0,35,51,B12,Regular,27000,R11
